,"Primary Caretakers, No IPV Ever","Primary Caretakers Met IPV Threshold in Past, not in Year Before Conviction","Primary Caretaker, Met IPV Threshold in Year Before"
 I needed a place for me and/or my kids stay,31.3,19.7,36.8
" I struggled to meet my or my children’s basic needs (rent, groceries, clothing)",26.6,34.8,41.7
" I needed money to get ahead (buy nice things, accumulate wealth)",42.2,36.4,39.6
 I needed money to buy drugs or alcohol,21.9,18.2,20.3
 I was under the influence of drugs and alcohol,40.6,53,53.7
 I was struggling with my mental health,45.3,57.6,67.8
 I was involved in a gang,3.1,3,5.2
" I was pressured by friends and/or family (parents, siblings, aunts/uncles)",10.9,18.2,17.5
" I was pressured by a partner (boy/girlfriend, dating partner, spouse) or someone I was involved with sexually",10.9,21.2,46.0
 I was afraid my partner would hurt me or my children,4.7,7.6,39.9
 I was afraid my children would be taken away from me,15.6,22.7,31.9
" I acted in self-defense or in defense of someone else (child, sibling, stranger)",21.9,16.7,26.1
 I wanted revenge on someone who wronged me or hurt me and/or my children,12.5,4.5,11.7
 I wanted to do something exciting,6.3,7.6,6.8
 A prior traumatic experience impacted my behavior (specify),15.6,21.2,29.1
,,,
,,,
